,start,end,Delta,R2_Raw,R2_SGF
0,0,60,60,0.63,0.91
1,61,97,36,0.39,0.9
2,98,117,19,0.2,0.84
3,118,137,19,0.14,0.53
4,138,438,300,0.8,0.91
5,439,483,44,0.85,0.97
6,484,514,30,0.81,0.96
7,515,537,22,0.63,0.91
8,538,574,36,0.73,0.9
9,575,588,13,0.89,0.99
10,589,621,32,0.68,0.94
11,622,648,26,0.89,0.97
12,649,665,16,0.82,0.97
13,666,695,29,0.67,0.91
14,696,715,19,0.35,0.59
15,716,727,11,0.75,0.98
16,728,735,7,0.69,1.0
17,736,755,19,0.33,0.84
18,756,768,12,0.85,0.99
19,769,796,27,0.87,0.91
20,797,807,10,0.66,0.97
21,808,821,13,0.75,0.97
22,822,835,13,0.67,0.93
23,836,842,6,0.73,1.0
24,843,891,48,0.81,0.93
25,892,916,24,0.84,0.96
26,917,926,9,0.86,1.0
27,927,949,22,0.95,0.99
28,950,964,14,0.95,1.0
29,965,991,26,0.91,0.99
30,992,1075,83,0.85,0.96
31,1076,1095,19,0.12,0.87
32,1096,1115,19,0.1,0.34
33,1116,1135,19,0.42,0.85
34,1136,1155,19,0.0,0.24
35,1156,1175,19,0.12,0.5
36,1176,1195,19,0.1,0.73
37,1196,1215,19,0.04,0.77
38,1216,1235,19,0.05,0.31
39,1236,1255,19,0.03,0.16
40,1256,1275,19,0.35,0.9
41,1276,1295,19,0.15,0.84
42,1296,1315,19,0.14,0.81
43,1316,1335,19,0.0,0.01
44,1336,1355,19,0.09,0.5
45,1356,1360,4,0.0,1.0
